0.00E+00,2.00E+00,8.00E+00,-9.49E+00
8.00E+00,0.00E+00,1.00E+00,-5.68E+00
6.00E+00,0.00E+00,1.40E+01,-9.82E+00
1.00E+00,0.00E+00,3.00E+00,-1.16E+01
5.00E+00,1.00E+00,2.00E+00,-4.99E+00
4.00E+00,1.00E+00,9.00E+00,-9.14E+00
4.00E+00,2.00E+00,1.30E+01,-1.30E+01
2.00E+00,1.00E+00,6.00E+00,-1.01E+01
3.00E+00,2.00E+00,3.00E+00,-1.24E+01
7.00E+00,0.00E+00,1.40E+01,-1.02E+01
2.00E+00,1.00E+00,1.30E+01,-1.38E+01
6.00E+00,0.00E+00,1.00E+00,-5.33E+00
5.00E+00,0.00E+00,5.00E+00,-1.37E+01
4.00E+00,1.00E+00,1.00E+01,-1.06E+01
3.00E+00,0.00E+00,2.00E+00,-3.83E+00
6.00E+00,1.00E+00,1.30E+01,-1.20E+01
5.00E+00,2.00E+00,3.00E+00,-1.33E+01
4.00E+00,0.00E+00,8.00E+00,-9.26E+00
5.00E+00,2.00E+00,4.00E+00,-1.24E+01
8.00E+00,0.00E+00,2.00E+00,-4.16E+00
5.00E+00,2.00E+00,6.00E+00,-8.47E+00
8.00E+00,1.00E+00,1.30E+01,-1.23E+01
5.00E+00,2.00E+00,9.00E+00,-8.56E+00
5.00E+00,0.00E+00,4.00E+00,-1.20E+01
5.00E+00,0.00E+00,3.00E+00,-1.24E+01
0.00E+00,2.00E+00,9.00E+00,-5.93E+00
1.00E+00,0.00E+00,6.00E+00,-9.68E+00
1.00E+00,1.00E+00,1.00E+01,-9.48E+00
6.00E+00,1.00E+00,5.00E+00,-1.31E+01
0.00E+00,0.00E+00,2.00E+00,-4.13E+00
3.00E+00,2.00E+00,1.50E+01,-1.52E+01
6.00E+00,1.00E+00,1.50E+01,-1.35E+01
0.00E+00,1.00E+00,1.00E+01,-7.46E+00
3.00E+00,2.00E+00,7.00E+00,-9.44E+00
4.00E+00,2.00E+00,1.20E+01,-6.08E+00
2.00E+00,1.00E+00,7.00E+00,-9.66E+00
6.00E+00,2.00E+00,1.20E+01,-6.39E+00
8.00E+00,1.00E+00,7.00E+00,-8.15E+00
0.00E+00,0.00E+00,1.20E+01,-5.33E+00
4.00E+00,0.00E+00,9.00E+00,-6.45E+00
1.00E+00,2.00E+00,9.00E+00,-8.58E+00
2.00E+00,1.00E+00,9.00E+00,-7.92E+00
0.00E+00,0.00E+00,6.00E+00,-6.05E+00
7.00E+00,2.00E+00,1.50E+01,-1.56E+01
9.00E+00,1.00E+00,1.10E+01,-8.08E+00
5.00E+00,1.00E+00,6.00E+00,-9.82E+00
4.00E+00,1.00E+00,8.00E+00,-9.52E+00
1.00E+00,1.00E+00,1.00E+00,-5.72E+00
6.00E+00,2.00E+00,8.00E+00,-1.04E+01
9.00E+00,0.00E+00,6.00E+00,-6.37E+00
